category	name	year	value
HW FLOPS	Pentium 4	2005	90.0
HW FLOPS	GTX 580	2010	6000.0
HW FLOPS	K40	2014	15000.0
HW FLOPS	KNL	2016	22000.0
HW FLOPS	TPUv3	2018	420000.0
HW FLOPS	A100	2020	1250000.0
HW FLOPS	H100	2022	2000000.0
HW FLOPS	Gaudi 2	2022	1100000.0
HW FLOPS	B200	2024	4500000.0
DRAM BW	GDDR4	2007	1.8
DRAM BW	GDDR5	2010	10.0
DRAM BW	HBM	2015	30.0
DRAM BW	HBM 2	2018	70.0
DRAM BW	HBM 3	2021	120.0
DRAM BW	HBM3E	2024	250.0
Interconnect BW	PCIe 2.0	2007	1.2
Interconnect BW	PCIe 3.0	2011	2.0
Interconnect BW	NVLink 1.0	2016	3.0
Interconnect BW	PCIe 5.0	2019	8.0
Interconnect BW	NVLink 4.0	2024	50.0
