id	formula	inputs	unit	section	row	description	ref_id	supporting_refs	ref_note	confidence	validated_by
voxels_per_mm3	1e18 / (voxel_x * voxel_y * voxel_z)	voxel_x,voxel_y,voxel_z	voxels/mm³	imaging	100	Number of voxels in one cubic millimeter at acquisition resolution	internal_methodology_2025		Standard volumetric calculation	derived	human
effective_volume	biological_volume * expansion_factor^3 * (1 + reacquisition_rate)	biological_volume,expansion_factor,reacquisition_rate	mm³	imaging	99	Total volume to image after tissue expansion	internal_methodology_2025		Volume × expansion³ × (1 + reacq)	derived	human
petavoxels_per_mm3	voxels_per_mm3 / 1e15	voxels_per_mm3	PV/mm³	imaging	101	Petavoxels per cubic millimeter	internal_methodology_2025		Unit conversion	derived	human
petavoxels_total	petavoxels_per_mm3 * effective_volume	petavoxels_per_mm3,effective_volume	PV	imaging	102	Total petavoxels to image	internal_methodology_2025		PV/mm³ × volume	derived	human
net_imaging_rate	sustained_imaging_rate / (total_channels / parallel_channels) * microscope_uptime	sustained_imaging_rate,total_channels,parallel_channels,microscope_uptime	Mvox/s	imaging	72	Effective imaging speed accounting for channel rounds and uptime	internal_methodology_2025		Rate / channel rounds × uptime	derived	human
mm3_per_day_per_scope	(net_imaging_rate * 1e6 * 86400) / voxels_per_mm3	net_imaging_rate,voxels_per_mm3	mm³/day	imaging	73	Volume one microscope can image per day	internal_methodology_2025		Voxels/day / voxels/mm³	derived	human
num_microscopes	floor(microscope_budget / microscope_capital_cost)	microscope_budget,microscope_capital_cost	count	imaging	69	Number of microscopes affordable within budget	internal_methodology_2025		Budget / cost per scope	derived	human
scope_operating_cost_per_year	technician_salary / microscope_technician_ratio + scope_annual_service	technician_salary,microscope_technician_ratio,scope_annual_service	$/year	imaging	70	Annual operating cost per microscope	internal_methodology_2025		Labor share + service costs	derived	human
imaging_days	if(mm3_per_day_per_scope * num_microscopes == 0, 0, effective_volume / (mm3_per_day_per_scope * num_microscopes) + initial_prep_days)	effective_volume,mm3_per_day_per_scope,num_microscopes,initial_prep_days	days	timeline	121	Total days to complete all imaging	internal_methodology_2025		Volume / throughput + prep	derived	human
imaging_years	imaging_days / 365	imaging_days	years	timeline	151	Imaging time in years	internal_methodology_2025		Unit conversion	derived	human
registration_days	biological_volume / (registration_rate_pv_per_day * max_parallel_gpus)	biological_volume,registration_rate_pv_per_day,max_parallel_gpus	days	timeline	122	Days for image registration/alignment	internal_methodology_2025		Volume / (rate × GPUs)	derived	human
segmentation_days	biological_volume / (segmentation_rate_pv_per_day * max_parallel_gpus)	biological_volume,segmentation_rate_pv_per_day,max_parallel_gpus	days	timeline	123	Days for neural segmentation	internal_methodology_2025		Volume / (rate × GPUs)	derived	human
processing_days	registration_days + segmentation_days	registration_days,segmentation_days	days	timeline	124	Total GPU processing time	internal_methodology_2025		Sum of processing stages	derived	human
processing_years	processing_days / 365	processing_days	years	timeline	152	Processing time in years	internal_methodology_2025		Unit conversion	derived	human
proofreading_days	neuron_count * hours_per_neuron / (num_proofreaders * hours_per_day)	neuron_count,hours_per_neuron,num_proofreaders,hours_per_day	days	timeline	125	Total human proofreading time	internal_methodology_2025		Total hours / daily capacity	derived	human
proofreading_years	proofreading_days / 365	proofreading_days	years	timeline	153	Proofreading time in years	internal_methodology_2025		Unit conversion	derived	human
buffer_years	(imaging_years + processing_years + proofreading_years) * risk_buffer_first	imaging_years,processing_years,proofreading_years,risk_buffer_first	years	timeline	154	Risk buffer time for first connectome	internal_methodology_2025		Timeline × buffer fraction	derived	human
time_to_first_years	imaging_years + processing_years + proofreading_years + buffer_years	imaging_years,processing_years,proofreading_years,buffer_years	years	timeline	155	Total years until first connectome complete	internal_methodology_2025		Sum of all phases	derived	human
time_to_marginal_years	max(imaging_years, processing_years, proofreading_years)	imaging_years,processing_years,proofreading_years	years	timeline	156	Years between subsequent connectomes (bottleneck)	internal_methodology_2025		Bottleneck determines pace	derived	human
total_connectomes	round(project_duration / max(time_to_first_years, time_to_marginal_years))	project_duration,time_to_first_years,time_to_marginal_years	count	summary	148	Number of connectomes achievable in project duration	internal_methodology_2025		Duration / pace	derived	human
